Designator,Mid X,Mid Y,Layer,Rotation
C1,185.928,-96.012,top,180
C2,193.421,-111.125,top,180
C3,195.5546,-99.5302,top,90
C4,186.322,-111.252,top,0
FB2,202.311,-111.467,top,90
FB3,197.2564,-106.3244,top,0
J3,211.973,-79.201,top,180
Q1,216.4565,-93.218,top,180
Q2,211.5035,-93.345,top,180
Q3,206.2965,-93.345,top,180
Q4,201.3435,-93.345,top,180
R1,183.3316,-79.3242,top,0
R2,183.3626,-77.2414,top,0
R3,197.104,-79.883,top,0
R4,197.04,-76.962,top,0
R5,185.5216,-86.4108,top,0
R6,185.4962,-90.8812,top,180
R7,215.107,-89.154,top,0
R8,217.7232,-108.5596,top,180
R9,211.678,-89.154,top,0
R10,216.5548,-104.394,top,180
R11,208.1408,-89.2556,top,0
R12,214.2688,-100.9396,top,180
R13,204.058,-89.281,top,0
R14,208.3176,-99.4156,top,180
R15,199.5932,-100.1522,top,180
R16,208.4954,-112.2934,top,180
R17,211.1502,-108.0638,top,-90
R18,203.7588,-101.854,top,180
U1,191.008,-78.912,top,-90
U2,178.689,-78.912,top,90
U3,186.314,-98.405,top,0
U4,204.987,-106.537,top,0